Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Telephone;Web;Mail;Segpa;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Type_contrat_prive;code_nature;Code_type_contrat_prive
0291654R;Lycée Saint-Joseph;Lycée;Privé;02 98 97 03 13;https://stjoseph-stmarc.fr/;accueil@stjoseph-stmarc.fr;0;0;0;1;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0341606L;Lycée professionnel agricole privé Maurice Clavel;Lycée;Privé;04 67 43 16 03;http://www.lepap-maurice-clavel.fr;contact@lepap-maurice-clavel.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0351960R;Lycée agricole J-B Le Taillandier site Saint-Aubin;Lycée;Privé;02 99 39 10 27;http://www.lycee-jblt.fr;secretariat.staubin@lycee-jblt.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0640141F;Collège Saint-Joseph;Collège;Privé;05 59 55 02 88;http://www.stjosteagnesbayonne.com;saintjo.bayonne@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0110984K;Lycée d'enseignement agricole privé L'Amandier;Lycée;Privé;04 68 27 17 40;https://institutlamandier.com/;lezignan@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0341472R;Lycée d'enseignement agricole privé Institut Marie Sagnier;Lycée;Privé;04 67 96 02 67;https://www.institut-mariesagnier.fr;clermont-herault@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0340920R;Lycée privé polyvalent Turgot;Lycée;Privé;04 67 10 42 00;http://lyceeturgot.fr;secretariat@lyceeturgot.fr;0;0;0;1;CONTRAT ASSOCIATION PARTIE DES CLASSES;320;31
0131341M;Lycée Notre-Dame de Sion;Lycée;Privé;04 91 15 74 50;http://www.notredamedesion.fr/;secretariatnds@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0692924D;Collège Saint-Thomas d'Aquin;Collège;Privé;04 72 66 33 66;https://www.saint-thom.fr/oullins/le-site#content;contact.oullins@saint-thom.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0951048Y;Lycée Torat Emet;Lycée;Privé;01 39 90 96 28;http://www.ozarhatorah.com/sarcelles/college-lycee-filles/;contact.osf@ozar.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;300;31
0952208J;Lycée Saint-Joseph;Lycée;Privé;01 39 82 65 68;http://www.stjosephargenteuil.fr/;stjoseph.argenteuil.int@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0772151V;Lycée professionnel privé laïque Les Sinoplies;Lycée;Privé;01 64 40 93 89;http://www.ecole-hoteliere-aide-soignant-idf.fr;ce.0772151v@ac-creteil.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0690585L;Collège Notre-Dame;Collège;Privé;04 74 02 06 61;https://www.csnd.fr/scolarite-college/college-notre-dame-claveisolles/;college.claveisolles@csnd.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0753941B;Lycée privé Gerson;Lycée;Privé;01 45 03 81 00;http://www.gerson-paris.com;j.gerson@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0755352K;Lycée privé N'R Hatorah;Lycée;Privé;01 42 06 53 71;;nrhatorah@sfr.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0631084L;Collège Saint-Louis;Collège;Privé;04 73 63 60 82;;ce.0631084L@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0121255Z;Collège Saint-Joseph;Collège;Privé;05 65 45 01 13;http://www.lycee-saint-joseph.com;0121255z@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0121259D;Collège Jeanne d'Arc;Collège;Privé;05 65 60 64 00;http://www.jeannedarcmillau.fr/college-millau;jeannedarc.millau@gmail.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0741284U;Collège privé Saint-François;Collège;Privé;04 50 37 76 01;http://juvenat.com/le-college;accueil@juvenat.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
